genre,best_threshold
Action,0.5000000000000001
Adventure,0.5500000000000002
Animation,0.6000000000000002
Biography,0.6000000000000002
Comedy,0.5000000000000001
Crime,0.7000000000000002
Documentary,0.6000000000000002
Drama,0.30000000000000004
Family,0.5000000000000001
Fantasy,0.7000000000000002
Film-Noir,0.5
Game-Show,0.7000000000000002
History,0.6000000000000002
Horror,0.6000000000000002
Music,0.30000000000000004
Musical,0.6000000000000002
Mystery,0.5000000000000001
News,0.5500000000000002
Reality-TV,0.6500000000000001
Romance,0.5500000000000002
Sci-Fi,0.40000000000000013
Short,0.40000000000000013
Sport,0.6500000000000001
Talk-Show,0.7000000000000002
Thriller,0.40000000000000013
War,0.5000000000000001
Western,0.6500000000000001
